Cocunut,Mortgage_YN,AGE_AT_ORIGINATION,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
4193,N,NA,53,12,M,BCR,STE,F,608,143,1986-01-01,1995-05-16,2005-05-20
4198,N,NA,57,12,M,BCR,STE,F,380,5944615,2013-06-01,1994-09-01,2005-05-20
4207,N,NA,41,12,M,HGH,STE,M,280,316154,1976-07-25,2005-01-07,2005-05-23
4213,N,NA,62,12,M,BCR,OTH,F,816,1415385,1987-09-01,9999-10-01,2005-05-24
4214,N,NA,52,12,M,HGH,PVE,F,372,3076923,1991-01-01,1997-01-01,2005-05-24
4218,N,NA,47,12,S,BCR,PVE,F,371,3923077,1970-04-17,2014-03-24,2005-05-24
4219,N,NA,61,12,D,BCR,PVE,F,678,9230769,2005-06-28,2000-09-05,2005-05-24
4233,N,NA,39,12,S,BCR,STE,F,479,132308,1984-07-10,2011-11-16,2005-05-25
4248,N,NA,63,12,D,BCR,RET,F,275,66,2013-01-01,9999-10-01,2005-05-26
4249,N,NA,42,12,M,HGH,PVE,M,308,9384615,2014-10-01,2013-04-01,2005-05-24
4250,N,NA,64,12,M,HGH,RET,F,217,3077692,1993-12-31,9999-10-01,2005-05-26
4253,N,NA,67,12,M,HGH,RET,F,229,6659231,1986-04-06,9999-10-01,2005-05-26
4255,N,NA,36,12,M,HGH,STE,M,601,1387692,2007-07-01,2010-10-25,2005-05-26
4256,N,NA,64,12,M,BCR,PVE,M,522,2692308,1976-05-02,2006-04-11,2005-05-12
4260,N,NA,55,12,D,HGH,STE,F,280,8692308,2011-05-01,1991-01-03,2005-05-27
4263,N,NA,55,12,M,HGH,PVE,M,739,1538462,1985-05-25,1998-10-05,2005-02-11
4271,N,NA,43,12,M,BCR,PVE,F,423,769231,2000-09-24,2005-05-01,2005-05-27
4274,N,NA,55,12,M,HGH,PVE,M,385,2,1975-01-01,2008-09-01,2005-05-30
4277,N,NA,53,12,S,HGH,PVE,M,1418,559231,2006-06-24,1994-07-01,2005-05-04
4278,N,NA,44,12,M,HGH,PVE,M,347,9626923,1973-09-25,1996-06-03,2005-05-30
4279,N,NA,57,15,M,BCR,PVE,F,635,7230769,2003-02-27,1993-02-01,2002-06-18
4281,N,NA,64,12,D,BCR,SFE,M,297,4307692,2011-06-06,2010-02-01,2005-05-30
4284,N,NA,44,12,M,HGH,PVE,M,246,1538462,2000-03-01,2002-02-01,2005-05-31
4286,N,NA,68,12,M,BCR,RET,F,294,480769,1957-01-01,9999-10-01,2005-05-31
4290,N,NA,51,12,M,BCR,STE,F,461,5384615,2003-01-01,2005-05-23,2005-05-31
4295,N,NA,60,12,M,HGH,RET,F,240,512308,1981-04-12,9999-10-01,2005-06-01
4300,N,NA,41,12,M,HGH,STE,M,427,743,1976-06-11,2004-10-05,2005-06-02
4307,N,NA,54,12,W,HGH,PVE,F,962,2615385,2009-01-01,1982-03-02,2005-06-02
4310,N,NA,68,12,M,HGH,RET,M,257,5376923,1974-01-13,9999-10-01,2005-06-03
4314,N,NA,37,12,M,HGH,PVE,M,280,4692308,2007-12-31,2005-06-03,2005-06-03
4321,N,NA,58,12,M,BCR,PVE,F,413,5833077,1984-02-23,1984-08-15,2005-06-04
4323,N,NA,39,13,S,HGH,PVE,F,273,7107692,1978-04-18,2010-06-01,2003-09-25
4330,N,NA,43,12,S,BCR,STE,F,379,7046154,2006-07-06,2005-01-04,2005-06-06
4332,N,NA,59,12,M,PHD,STE,M,1127,415385,1997-08-21,1995-02-01,2005-06-06
4341,N,NA,55,12,M,HGH,STE,M,458,7125385,1996-09-20,2003-05-17,2005-06-07
4347,N,NA,39,12,M,HGH,PVE,M,537,1807692,2009-03-16,2000-04-04,2005-06-07
4358,N,NA,66,12,M,BCR,RET,F,287,6453846,2002-12-09,9999-10-01,2005-05-26
4359,N,NA,56,12,M,BCR,SFE,F,197,8848462,2005-10-21,1998-05-29,2005-06-08
4360,N,NA,74,12,M,HGH,RET,M,436,738,1970-01-01,9999-10-01,2005-06-09
4362,N,NA,56,12,M,BCR,STE,F,314,461,1990-03-04,1983-12-15,2005-06-09
4373,N,NA,46,12,D,BCR,STE,F,377,8769231,1992-05-09,2014-02-28,2005-06-10
4376,N,NA,49,12,M,HGH,STE,F,357,769231,2002-04-02,1987-12-17,2005-06-10
4381,N,NA,46,12,M,HGH,STE,M,608,1006154,2005-05-13,2015-12-15,2005-06-11
4383,N,NA,46,12,M,HGH,STE,M,301,6261538,2001-01-01,1999-08-05,2005-06-11
4385,N,NA,61,14,M,BCR,STE,F,1272,946154,1995-09-22,2000-12-27,2003-05-24
4389,N,NA,58,12,M,HGH,RET,F,317,492308,1980-02-01,9999-10-01,2005-06-13
4390,N,NA,60,12,M,BCR,STE,M,792,5615385,1989-11-20,1983-03-18,2005-06-13
4391,N,NA,44,12,M,BCR,STE,M,781,3846154,2005-09-30,1995-08-01,2005-04-25
4395,N,NA,57,12,M,BCR,STE,M,416,6,2010-01-01,1988-03-31,2005-06-13
4396,N,NA,57,12,M,SEC,PVE,F,271,4538462,1998-01-01,1986-01-06,2005-06-09
4397,N,NA,64,12,W,HGH,RET,F,252,9978462,1980-08-10,9999-10-01,2005-06-13
4403,N,NA,42,12,M,HGH,STE,F,275,4397692,2003-01-25,1998-11-12,2005-06-13
4405,N,NA,74,13,M,BCR,RET,M,318,1924615,9999-10-01,9999-10-01,2004-06-30
4409,N,NA,37,12,M,HGH,PVE,M,280,5538462,1998-07-09,2005-06-03,2005-06-13
4410,N,NA,69,12,M,HGH,RET,M,223,6328462,1974-01-01,9999-10-01,2005-05-18
4412,N,NA,51,15,M,BCR,STE,M,404,7307692,1989-02-01,2005-08-01,2001-12-13
4414,N,NA,53,12,M,BCR,STE,F,393,7,2005-07-01,2003-01-13,2004-11-18
4416,N,NA,50,12,M,HGH,STE,M,419,9,2008-01-01,1986-07-01,2005-06-14
4417,N,NA,37,12,M,HGH,PVE,M,360,3384615,1980-11-14,2002-09-09,2005-06-14
4422,N,NA,40,12,M,BCR,PVE,F,621,4538462,2007-02-01,2005-01-04,2005-06-14
4425,N,NA,59,12,M,BCR,PVE,M,414,8615385,1991-03-01,2005-01-01,2005-06-14
4427,N,NA,54,14,M,HGH,PVE,F,280,5076923,1986-10-25,2015-05-08,2002-11-28
4429,N,NA,55,14,M,BCR,PVE,M,328,2051538,1989-12-01,2007-04-29,2003-02-10
4436,N,NA,63,12,M,HGH,RET,M,329,7884615,2000-01-01,9999-10-01,2005-06-15
4440,N,NA,39,12,M,BCR,STE,M,234,5961538,1978-11-10,2004-10-04,2005-06-15
4444,N,NA,61,12,M,SEC,STE,M,221,8230769,1956-09-11,1998-02-25,2005-06-15
4445,N,NA,39,12,S,BCR,PVE,F,1352,981231,2015-09-19,2009-06-15,2005-06-16
4446,N,NA,57,12,M,BCR,STE,F,320,4384615,1987-08-01,1993-06-23,2005-06-16
4448,N,NA,51,12,M,BCR,PVE,F,269,2307692,1972-01-01,9999-10-01,2005-06-16
4449,N,NA,64,12,M,BCR,RET,F,285,1613846,1997-12-06,9999-10-01,2005-06-16
4453,N,NA,48,12,S,BCR,STE,F,507,7615385,1998-05-16,2006-05-15,2005-03-18
4456,N,NA,60,12,M,HGH,STE,M,289,4846154,2011-10-28,1979-03-03,2005-06-16
4460,N,NA,64,12,M,SEC,RET,M,218,5723077,1975-05-03,9999-10-01,2005-06-16
4461,N,NA,64,12,M,HGH,RET,M,342,362308,1989-09-08,9999-10-01,2005-06-17
4466,N,NA,66,12,M,BCR,RET,F,209,561538,1987-12-01,9999-10-01,2005-05-23
4474,N,NA,65,14,S,HGH,RET,M,273,7644615,1964-11-05,9999-10-01,2003-02-17
4478,N,NA,67,12,M,HGH,RET,F,300,476,2011-01-01,9999-10-01,2005-06-20
4481,N,NA,38,12,S,HGH,STE,F,210,5615385,1999-01-18,2002-01-01,2005-06-20
4482,N,NA,36,12,M,HGH,PVE,M,280,4384615,1981-09-18,2008-04-01,2005-06-20
4488,N,NA,48,13,M,HGH,PVE,M,466,3422308,1969-07-03,1989-10-15,2004-04-07
4492,N,NA,60,12,M,HGH,STE,M,251,4384615,1995-08-08,2013-04-26,2005-06-20
4493,N,NA,61,12,M,HGH,RET,F,186,5769231,1972-09-30,9999-10-01,2005-06-20
4494,N,NA,56,12,M,HGH,STE,F,462,5569231,1988-09-01,1988-09-01,2005-06-20
4495,N,NA,62,12,M,BCR,STE,F,555,317,2000-07-01,1982-08-16,2005-06-20
4498,N,NA,67,12,M,SEC,RET,M,336,5415385,1955-07-14,9999-10-01,2004-12-03
4501,N,NA,52,12,M,HGH,STE,F,336,2923077,1988-01-01,1999-08-13,2005-06-20
4502,N,NA,63,12,D,HGH,RET,F,156,4086154,1989-01-01,9999-10-01,2005-06-20
4506,N,NA,53,12,M,BCR,PVE,M,432,53,1972-01-01,1992-11-01,2005-06-20
4509,N,NA,65,12,M,PRS,RET,M,201,949231,1976-04-26,9999-10-01,2005-06-20
4513,N,NA,42,12,M,MAS,PVE,F,634,6173077,2010-12-01,2005-06-06,2005-06-21
4514,N,NA,60,12,M,HGH,PVE,M,607,9075385,2003-01-01,1979-06-20,2005-06-21
4515,N,NA,51,12,M,HGH,PVE,M,313,8022308,1993-12-01,1993-11-15,2005-06-21
4517,N,NA,38,12,M,PRS,PVE,M,259,4409231,2007-03-12,2001-09-24,2005-06-21
4524,N,NA,58,12,M,PHD,STE,F,526,8,2000-01-01,1998-01-27,2005-06-21
4527,N,NA,38,12,M,HGH,STE,F,257,7846154,1993-12-31,2001-05-01,2005-06-21
4531,N,NA,38,12,M,HGH,PVE,F,0,2013-01-01,2013-01-01,2005-06-21,199
4535,N,NA,57,14,M,HGH,PVE,M,890,6230769,2002-07-11,1985-06-24,2002-11-08
4536,N,NA,54,14,M,HGH,STE,M,317,4456923,1991-11-01,1994-09-01,2003-06-25
4543,N,NA,62,12,M,HGH,RET,F,218,157,1975-09-27,9999-10-01,2005-06-22
4544,N,NA,56,12,M,HGH,STE,F,306,8615385,1982-01-01,2000-12-01,2005-06-06
4547,N,NA,66,12,M,HGH,RET,M,277,9877692,1984-09-01,9999-10-01,2005-06-22
4551,N,NA,72,12,M,HGH,RET,M,297,6692308,1981-10-09,9999-10-01,2005-06-22
4555,N,NA,46,12,M,HGH,PVE,M,415,7699231,2003-06-17,1996-01-19,2005-06-22
4557,N,NA,60,12,M,HGH,RET,F,323,1369231,1985-01-01,9999-10-01,2004-10-09
4558,N,NA,41,12,M,HGH,STE,F,174,1106923,1996-05-01,1999-01-13,2005-06-22
4563,N,NA,58,12,M,HGH,STE,M,178,169,1959-10-17,1989-12-05,2005-06-22
4569,N,NA,61,12,M,HGH,RET,F,241,5861538,1980-01-01,9999-10-01,2005-06-22
4570,N,NA,49,12,D,HGH,PVE,F,319,3182308,2009-07-23,2003-06-04,2004-07-31
4572,N,NA,70,12,D,HGH,RET,F,243,3169231,1977-10-01,9999-10-01,2005-06-22
4576,N,NA,51,14,M,HGH,STE,M,228,8384615,1995-01-15,2010-01-01,2003-05-19
4577,N,NA,53,12,M,BCR,PVE,M,557,1974615,1964-05-20,2005-06-01,2005-06-23
4579,N,NA,39,12,M,HGH,PVE,M,216,6615385,1986-02-23,2006-03-16,2004-10-30
4580,N,NA,37,12,S,HGH,PVE,M,2038,984615,1984-01-01,2013-08-21,2005-06-23
4582,N,NA,37,12,S,BCR,PVE,F,659,2615385,2008-06-15,2006-12-04,2005-06-23
4585,N,NA,59,15,M,BCR,SFE,M,195,6230769,2002-08-01,2015-06-11,2002-03-15
4591,N,NA,51,14,D,BCR,STE,F,4329,519538,2003-08-01,1985-10-10,2003-06-17
4593,N,NA,60,12,M,HGH,RET,F,286,643,1996-06-15,9999-10-01,2005-06-23
4597,N,NA,68,12,M,HGH,STE,M,424,3855385,2004-02-26,1971-03-03,2005-06-23
4601,N,NA,44,12,M,BCR,PVE,M,540,6630769,2006-01-05,2013-04-01,2005-06-23
4603,N,NA,65,12,M,SEC,RET,M,338,4567692,1998-10-16,9999-10-01,2005-06-23
4604,N,NA,55,12,S,BCR,PVE,F,678,2076923,1978-05-15,2009-11-01,2005-06-24
4607,N,NA,60,12,M,HGH,STE,M,484,6270769,1987-05-01,1978-03-01,2005-06-24
4608,N,NA,68,12,M,BCR,RET,F,345,6738462,1981-01-01,9999-10-01,2005-06-24
4609,N,NA,66,12,M,BCR,PVE,M,507,6923077,2000-01-01,2015-02-10,2005-06-24
4610,N,NA,64,12,M,HGH,STE,M,492,8196154,1970-05-10,1976-09-14,2005-06-24
4612,N,NA,44,12,M,BCR,STE,F,364,3153846,1999-09-01,1999-09-01,2005-06-24
4618,N,NA,57,12,M,HGH,STE,M,401,537692,1999-11-03,1996-02-15,2005-06-24
4619,N,NA,52,12,S,BCR,STE,F,273,9302308,2005-09-13,2007-01-10,2005-05-31
4621,N,NA,62,12,M,HGH,RET,M,311,3832308,2002-10-01,9999-10-01,2005-06-24
4624,N,NA,67,12,M,HGH,RET,F,226,9507692,2001-01-15,9999-10-01,2005-06-24
4625,N,NA,55,12,M,HGH,STE,M,341,2656923,1998-01-01,1996-07-10,2005-06-24
4626,N,NA,65,15,W,HGH,RET,F,256,38,1985-11-07,9999-10-01,2002-04-11
4632,N,NA,43,12,M,HGH,PVE,M,337,8384615,2013-03-18,2001-06-19,2005-06-24
4635,N,NA,45,12,M,HGH,STE,M,384,6153846,9999-10-01,2001-04-23,2005-06-25
4637,N,NA,67,12,M,HGH,RET,M,519,9054615,9999-10-01,9999-10-01,2005-06-25
4654,N,NA,61,12,M,BCR,STE,M,559,230769,1990-01-01,1998-02-16,2005-05-06
4657,N,NA,53,12,M,HGH,STE,M,493,201538,2002-07-10,2004-08-25,2005-04-08
4658,N,NA,52,12,M,HGH,STE,M,311,5717692,1973-01-01,2003-09-01,2005-06-27
4661,N,NA,47,12,M,HGH,STE,M,452,4384615,1983-07-01,1997-12-13,2005-04-08
4663,N,NA,50,14,M,BCR,STE,M,783,6226154,1977-01-01,1998-12-07,2003-01-29
4665,N,NA,42,12,M,HGH,STE,M,438,8013846,2009-05-22,2004-02-02,2005-06-27
4670,N,NA,55,12,W,HGH,STE,F,337,1076923,2001-09-01,1986-11-01,2005-05-16
4671,N,NA,51,12,M,HGH,PVE,F,607,1594615,1988-01-23,1997-04-02,2005-06-27
4672,N,NA,42,12,M,BCR,STE,F,653,1769231,2005-12-01,2010-11-02,2005-06-27
4674,N,NA,49,12,M,BCR,STE,F,291,6654615,1972-09-01,1996-02-07,2005-06-27
4682,N,NA,47,12,S,BCR,STE,M,516,9956154,1983-05-17,2011-02-01,2005-06-27
4683,N,NA,57,12,M,BCR,PVE,F,285,7,1981-10-01,1981-08-03,2005-06-27
4684,N,NA,50,15,M,BCR,PVE,M,197,2004-01-01,2012-03-01,2002-03-19,118
4685,N,NA,44,12,M,HGH,PVE,M,862,5,2000-09-28,2005-06-01,2005-06-27
4689,N,NA,54,12,S,HGH,SFE,M,138,5793077,1980-08-01,2008-09-01,2005-06-27
4693,N,NA,51,15,M,HGH,PVE,M,413,2191538,1997-01-01,2002-11-01,2002-05-23
4698,N,NA,58,12,M,HGH,STE,M,438,3060769,1980-01-01,2006-03-05,2005-06-28
4699,N,NA,58,12,M,HGH,STE,F,296,7684615,1987-04-01,1985-07-01,2005-06-28
4701,N,NA,37,12,S,HGH,STE,M,395,9057692,1988-06-03,2002-02-11,2005-06-28
4704,N,NA,62,12,M,HGH,STE,M,329,1923077,2000-01-01,1996-02-15,2005-06-28
4705,N,NA,48,12,M,BCR,PVE,M,1219,38462,2003-11-06,2015-04-24,2005-06-28
4711,N,NA,48,12,M,BCR,STE,F,292,996923,2002-11-14,2003-11-17,2005-06-28
4714,N,NA,42,12,M,BCR,STE,F,424,6153846,1999-06-25,2004-04-14,2005-06-28
4715,N,NA,57,12,M,BCR,STE,F,266,8913846,1960-02-04,1997-09-10,2005-06-28
4723,N,NA,47,12,M,HGH,PVE,F,196,6220769,1991-01-01,2014-03-01,2005-06-28
4724,N,NA,47,12,M,BCR,RET,F,402,2384615,1999-01-01,9999-10-01,2005-06-28
4726,N,NA,45,12,S,HGH,PVE,M,282,8063846,1972-03-09,2008-06-04,2005-06-28
4728,N,NA,69,12,M,HGH,RET,M,208,6369231,1987-07-01,9999-10-01,2005-06-28
4731,N,NA,55,12,M,BCR,STE,M,444,9078462,1969-11-03,2001-10-01,2005-06-28
4732,N,NA,62,12,M,HGH,STE,M,471,1483077,2002-01-11,1996-03-11,2005-06-28
4742,N,NA,38,12,M,HGH,PVE,M,366,7366154,1999-01-01,2012-05-21,2005-06-29
4744,N,NA,62,12,W,SEC,RET,F,333,6653846,1990-01-01,9999-10-01,2005-03-07
4745,N,NA,48,12,M,HGH,STE,M,367,3816154,1993-05-29,1994-06-01,2005-06-29
4747,N,NA,56,12,M,HGH,STE,F,171,8326923,1999-05-12,2005-01-24,2005-06-29
4751,N,NA,65,12,S,HGH,RET,M,356,6057692,2011-01-01,9999-10-01,2005-06-29
4763,N,NA,67,12,M,BCR,RET,M,226,6040769,2005-06-20,9999-10-01,2004-11-23
4767,N,NA,46,12,M,HGH,STE,M,460,7187692,2000-01-01,2003-01-28,2005-06-29
4769,N,NA,53,13,M,BCR,PVE,F,292,3,1991-01-01,2005-11-01,2004-05-13
4771,N,NA,50,15,M,BCR,PVE,F,517,8327692,2006-09-05,1991-07-01,2002-02-05
4772,N,NA,57,12,M,HGH,PVE,F,278,1338462,1984-09-08,2004-11-01,2005-06-29
4775,N,NA,71,12,M,BCR,RET,F,492,3395385,2012-07-01,9999-10-01,2005-06-30
4776,N,NA,56,12,D,HGH,RET,M,197,5672308,1965-01-01,9999-10-01,2005-06-30
4777,N,NA,53,12,M,HGH,STE,M,314,1307692,2012-01-01,2005-01-21,2005-06-30
4779,N,NA,38,12,M,HGH,PVE,F,197,2943846,1979-07-20,2003-06-01,2005-06-30
4782,N,NA,37,12,M,BCR,PVE,F,264,4204615,1980-06-10,2005-07-01,2005-06-30
4789,N,NA,57,12,M,BCR,STE,F,409,9,2009-09-17,1998-09-01,2005-06-30
4790,N,NA,51,12,M,HGH,PVE,F,300,6257692,1987-07-01,2005-08-05,2005-06-30
4794,N,NA,59,12,M,HGH,STE,M,360,8489231,2002-02-05,1999-12-06,2005-06-30
4815,N,NA,60,12,M,BCR,PVE,F,2570,669231,1968-03-01,2010-09-01,2005-06-30
4822,N,NA,47,12,M,BCR,STE,F,1337,515385,2014-09-29,2010-01-01,2005-02-07
4824,N,NA,62,12,M,BCR,STE,M,322,8018462,2000-01-10,1995-10-03,2005-03-25
4825,N,NA,37,12,M,BCR,STE,M,443,1638462,2006-01-01,2004-11-09,2005-07-01
4828,N,NA,64,12,M,BCR,RET,F,295,1600769,2010-01-01,9999-10-01,2005-07-01
4829,N,NA,70,13,W,BCR,RET,F,294,3857692,1979-03-01,9999-10-01,2004-05-14
4838,N,NA,44,12,M,HGH,STE,F,308,5753846,1996-12-21,1996-09-07,2005-07-01
4840,N,NA,47,12,S,BCR,STE,F,366,5307692,1999-09-15,1998-09-01,2005-07-01
4841,N,NA,54,12,S,HGH,STE,M,409,9461538,2001-01-01,1997-03-19,2005-07-01
4842,N,NA,46,12,D,BCR,PVE,F,985,7692308,2000-10-01,1999-08-18,2004-12-13
4855,N,NA,41,12,M,HGH,STE,M,412,6649231,2006-06-16,2005-06-01,2005-07-02
4856,N,NA,44,12,D,HGH,STE,F,262,5396923,2014-01-01,1999-09-01,2005-07-01
4858,N,NA,65,12,W,BCR,RET,M,375,3794615,1963-07-01,9999-10-01,2005-07-02
4864,N,NA,69,12,M,BCR,RET,F,354,3511538,1980-01-01,9999-10-01,2005-07-04
4866,N,NA,68,14,M,HGH,RET,M,415,363846,1949-12-04,9999-10-01,2002-11-08
4870,N,NA,68,12,M,HGH,RET,F,231,370769,2013-03-01,2005-04-02,2005-07-04
4871,N,NA,53,12,M,HGH,PVE,M,461,9615385,2004-09-01,1985-05-04,2005-07-04
4872,N,NA,58,12,M,HGH,PVE,M,347,9708462,1985-01-01,2008-05-04,2005-07-04
4877,N,NA,63,13,M,HGH,RET,F,231,7779231,1992-03-01,9999-10-01,2003-10-07
4879,N,NA,46,12,M,HGH,PVE,M,474,8823077,2000-05-01,2006-07-10,2005-07-04
4883,N,NA,61,12,M,BCR,RET,M,316,5139231,1995-04-06,9999-10-01,2005-07-04
4885,N,NA,46,12,M,BCR,PVE,M,608,3435385,1998-06-07,2014-11-01,2005-07-04
4887,N,NA,69,12,D,BCR,RET,F,306,7572308,1983-06-15,9999-10-01,2005-07-04
4889,N,NA,45,12,D,HGH,STE,F,226,9718462,2000-01-01,2011-11-16,2005-07-04
4894,N,NA,44,12,M,BCR,PVE,M,246,1538462,2005-10-01,2005-04-01,2005-07-04
4896,N,NA,69,12,M,HGH,RET,F,232,1949231,1986-01-01,9999-10-01,2005-07-04
4898,N,NA,66,12,W,HGH,RET,M,193,8938462,1988-12-31,9999-10-01,2005-07-05
4899,N,NA,64,12,M,HGH,PVE,M,248,769231,1990-01-01,1997-06-20,2005-07-05
4900,N,NA,66,12,M,HGH,RET,F,166,1230769,1981-11-29,9999-10-01,2005-07-05
4905,N,NA,43,12,S,BCR,PVE,F,883,8153846,2009-09-01,2007-03-01,2005-07-05
4906,N,NA,61,12,M,HGH,RET,M,293,7947692,1986-05-01,9999-10-01,2005-07-05
4911,N,NA,52,12,M,BCR,STE,M,383,1606154,1965-08-09,2007-09-01,2005-07-05
4913,N,NA,38,12,M,HGH,STE,F,258,6153846,2007-04-14,2000-02-01,2005-07-05
4916,N,NA,45,12,M,BCR,STE,M,2099,423077,1998-01-01,2004-07-05,2005-07-05
4921,N,NA,41,12,S,PRS,STE,M,380,9678462,1976-10-13,2002-02-26,2005-07-05
4922,N,NA,63,12,M,HGH,SFE,F,367,2600769,1990-09-01,2015-03-01,2005-07-05
4924,N,NA,57,12,M,PRS,STE,M,461,3016154,1985-05-17,1992-04-15,2005-07-05
4928,N,NA,64,13,M,HGH,RET,F,225,9169231,2002-03-05,9999-10-01,2004-06-21
4930,N,NA,65,12,M,HGH,RET,F,248,4653846,1989-04-01,9999-10-01,2005-07-05
4933,N,NA,67,11,M,HGH,RET,F,237,2230769,1981-01-01,9999-10-01,2005-07-06
4937,N,NA,45,11,M,BCR,PVE,M,585,4538462,2006-08-01,2001-06-01,2005-07-06
4938,N,NA,53,11,M,BCR,STE,F,361,5271538,1991-09-01,1990-10-01,2005-07-06
4943,N,NA,39,11,M,BCR,STE,F,290,692308,2006-03-01,2002-12-08,2005-07-06
4944,N,NA,66,12,M,BCR,RET,F,214,2976923,2007-07-06,9999-10-01,2005-04-28
4951,N,NA,48,11,S,HGH,STE,M,400,6532308,1971-01-01,2003-05-13,2005-07-06
4952,N,NA,37,11,M,HGH,PVE,M,248,433,2008-12-01,2015-10-26,2005-07-06
4953,N,NA,52,11,M,HGH,PVE,M,255,8536923,1994-01-01,2004-05-21,2005-07-06
4955,N,NA,59,11,W,HGH,STE,M,351,706,1980-05-05,1988-11-14,2005-07-06
4956,N,NA,66,11,W,HGH,RET,F,245,9353846,2005-09-19,9999-10-01,2005-07-06
4960,N,NA,59,11,M,HGH,RET,F,200,7427692,1983-05-01,9999-10-01,2005-07-06
4970,N,NA,44,11,M,BCR,STE,M,364,2974615,2010-08-26,2000-10-09,2005-07-07
4972,N,NA,62,12,M,BCR,RET,M,390,8076923,2000-02-01,9999-10-01,2005-07-04
4976,N,NA,56,11,M,BCR,STE,F,274,3959231,1983-08-01,1983-12-30,2005-07-07
4985,N,NA,45,11,M,BCR,STE,F,607,9615385,2005-08-31,2014-04-26,2005-07-07
4996,N,NA,68,12,M,BCR,RET,F,339,6946923,2003-02-01,9999-10-01,2005-04-19
5003,N,NA,67,14,M,BCR,RET,M,614,5025385,2000-10-26,9999-10-01,2003-04-04
5005,N,NA,68,11,M,BCR,RET,M,318,2068462,2010-10-14,9999-10-01,2005-07-07
5007,N,NA,51,11,M,BCR,STE,M,329,3307692,2007-07-01,1991-09-01,2005-07-08
5008,N,NA,51,11,M,BCR,STE,F,314,158,2007-07-01,1990-11-01,2005-07-08
5011,N,NA,62,11,D,HGH,RET,F,317,805,1995-03-31,9999-10-01,2005-07-07
5016,N,NA,43,11,M,BCR,PVE,M,816,7538462,1997-01-01,2012-04-01,2005-07-08
5017,N,NA,63,11,M,HGH,RET,F,359,8528462,1974-08-04,9999-10-01,2005-07-08
5018,N,NA,70,13,M,BCR,RET,F,244,75,2005-06-25,9999-10-01,2003-07-09
5021,N,NA,68,11,M,HGH,RET,M,292,9682308,1980-04-01,9999-10-01,2005-07-08
5024,N,NA,62,12,M,BCR,STE,M,864,1990-08-20,2008-01-15,2004-11-29,341
5025,N,NA,68,14,M,BCR,RET,M,361,156154,1957-01-01,9999-10-01,2003-06-24
5035,N,NA,51,11,M,HGH,PVE,F,207,538462,1966-03-06,2009-12-01,2005-07-08
5049,N,NA,53,11,M,HGH,STE,M,255,6615385,1986-01-01,2003-01-08,2005-07-09
5050,N,NA,42,14,M,BCR,PVE,M,409,769231,2014-06-01,2003-03-03,2002-12-10
5053,N,NA,52,12,S,BCR,STE,F,345,4739231,1965-06-14,1987-09-01,2004-08-12
5054,N,NA,60,11,D,HGH,RET,F,206,113846,2001-06-01,9999-10-01,2005-07-11
5055,N,NA,67,11,W,BCR,RET,F,260,9400769,1972-04-16,9999-10-01,2005-07-11
5057,N,NA,34,11,M,HGH,PVE,M,268,9846154,1985-06-20,2006-08-01,2005-07-11
5066,N,NA,57,12,M,BCR,STE,F,317,3461538,1986-12-01,1983-04-01,2005-04-02
5074,N,NA,64,11,W,BCR,RET,F,300,2004-10-22,9999-10-01,2005-07-11,19
5075,N,NA,47,12,M,HGH,STE,F,254,741,1994-11-27,2000-03-02,2005-06-20
5080,N,NA,64,11,M,HGH,RET,M,261,9216923,1983-10-01,9999-10-01,2005-07-11
5085,N,NA,57,11,S,HGH,STE,M,498,8807692,1972-10-10,2005-07-01,2005-07-12
5086,N,NA,39,11,M,HGH,PVE,F,307,6923077,1998-09-01,2012-08-01,2005-09-11
5095,N,NA,54,11,M,HGH,STE,F,269,5769231,1999-10-25,2006-06-01,2005-07-11
5097,N,NA,58,14,M,HGH,PVE,M,814,6778462,2009-01-01,1983-05-12,2002-11-08
5098,N,NA,54,11,M,BCR,STE,F,726,3384615,1963-08-17,1990-10-01,2005-07-12
5099,N,NA,44,11,S,BCR,PVE,F,491,4638462,2008-05-01,2003-06-01,2005-07-12
5100,N,NA,56,11,M,BCR,STE,F,345,958462,1985-06-01,2002-09-01,2005-07-12
5102,N,NA,69,11,M,HGH,RET,F,253,8517692,1972-05-01,2002-01-01,2005-07-12
5106,N,NA,49,11,D,HGH,PVE,F,213,3,1990-01-01,2010-07-01,2005-07-12
5107,N,NA,62,12,M,BCR,STE,M,388,4692308,1995-02-07,1980-06-10,2005-02-28
5110,N,NA,53,11,D,BCR,PVE,F,533,1153846,2009-09-22,1999-03-16,2005-07-12
5116,N,NA,54,11,M,HGH,PVE,F,226,50769,1981-10-10,2015-01-01,2005-07-12
5120,N,NA,55,11,M,PHD,STE,F,778,8213846,2002-07-12,1986-05-26,2005-07-13
5127,N,NA,62,11,M,HGH,STE,F,379,8153846,2000-07-01,1993-01-01,2005-07-12
5128,N,NA,67,11,M,HGH,RET,M,390,4872308,1993-05-01,9999-10-01,2005-07-13
5130,N,NA,47,11,M,HGH,STE,F,357,9615385,2007-10-15,1989-07-13,2005-07-13
